CID,CNAME,PERIOD,CREDIT,TEACHER
CS-01,创业团队建设与管理,64,4.0,马力
CS-02,高等数学（五）,4,0.5,朱健民
CS-03,材料性能与应用,32,2.0,王晨
CS-04,新科学家英语：演讲与写作,48,2.5,李雪
CS-05,材料成形技术基础,64,4.0,郑红梅
CS-06,线性代数与空间解析几何（一）,64,4.0,黄廷祝
CS-07,国际交流英语,32,2.0,周之南
CS-08,Physics,16,1.0,吴昊
CS-09,计算机系统局限性,64,4.0,何积丰
CS-10,大学物理—振动、波动与光学,32,2.0,李英兰
CS-11,大学物理（力学、电磁学）,16,1.0,陈肖慧
CS-12,大学物理（热学、振动波、光学、近代物理）,16,1.0,陈肖慧
CS-13,自我塑造：成功五要素,64,4.0,陈月华
CS-14,大学生科技创新课程之中美青年创客大赛,32,2.0,罗大兵
CS-15,微波技术,64,4.0,赵春晖
CS-16,无机及分析化学（下）,48,2.5,王运
CS-17,中外石油文化,16,1.0,张卫东
CS-18,无机化学——化学反应原理,32,2.0,张兴文
CS-19,新型陶瓷材料及商业应用,32,2.0,于岩
CS-20,社区管理学,64,4.0,孙萍
EE-01,地下结构数值计算方法,64,4.0,缪圆冰
EE-02,光信息处理,64,4.0,曹益平
EE-03,无机与分析化学,32,2.0,和玲
EE-04,无机非金属材料实验,4,0.5,冯小平
EE-05,技术经济学,48,2.5,刘晓君
EE-06,光电子学（二）,32,2.0,朱京平
EE-07,大学英语过程写作,48,2.5,林娟
EE-08,大学物理-电磁学,32,2.0,刘永录
EE-09,化工导论,48,2.5,唐韶坤
EE-10,产业经济学,48,2.5,王俊豪
EE-11,基础工程设计原理,64,4.0,李镜培
EE-12,大学物理-振动、波动和波动光学,16,1.0,刘永录
EE-13,物理与艺术,64,4.0,施大宁
EE-14,计算机科学导论,64,4.0,董荣胜
EE-15,全球化与中国文化,64,4.0,王俊棋
EE-16,医患沟通技能学,32,2.0,吴静
EE-17,C语言程序设计进阶,48,2.5,翁恺
EE-18,英汉互译方法与技巧,48,2.5,姚媛
EE-19,习近平新时代中国特色社会主义思想概论,16,1.0,李冉
EE-20,沟通心理学,4,0.5,裴秋宇
ME-01,高级语言程序设计（Python）,16,1.0,车万翔
ME-02,走近摄影,32,2.0,黎大志
ME-03,孙子兵法鉴赏,32,2.0,陈润华
ME-04,金融学（二）,16,1.0,李健
ME-05,C语言程序设计——快速入门与提高,32,2.0,吕春利
ME-06,国际金融学,64,4.0,杨胜刚
ME-07,学前教育原理,32,2.0,李少梅
ME-08,基于Java的面向对象编程范式,64,4.0,刘钦
ME-09,中国哲学经典著作导读,32,2.0,刘俊
ME-10,微积分（三）,64,4.0,高建
ME-11,大学美育,64,4.0,苏宏元
ME-12,生命科学基础,4,0.5,谭信
ME-13,现代工程制图（下）,48,2.5,高菲
ME-14,大学物理—量子物理基础及应用,64,4.0,李雪春
ME-15,精密机械设计,64,4.0,许贤泽
ME-16,航天、人文与艺术,48,2.5,闻新
ME-17,Python数据分析与展示,16,1.0,嵩天
ME-18,Python网络爬虫与信息提取,16,1.0,嵩天
ME-19,心理学：我知无不言，它妙不可言,32,2.0,田媛
ME-20,环境设施设计,48,2.5,张凌浩
MATH-01,高速铁路桥梁与隧道工程,32,2.0,王英学
MATH-02,中学生物学教学设计,48,2.5,崔鸿
MATH-03,微积分（四）,32,2.0,高建
MATH-04,微积分（二）,48,2.5,高建
MATH-05,科举与唐诗,64,4.0,王士祥
MATH-06,大学物理典型问题解析—振动、波动与光学,64,4.0,李英兰
MATH-07,东南亚南亚商务,32,2.0,韩越
MATH-08,交际英语,48,2.5,赵雪爱
MATH-09,疲劳与断裂,32,2.0,杨新华
MATH-10,基础化学实验(无机化学),64,4.0,郭栋才
MATH-11,基础化学实验（分析化学）,16,1.0,郭栋才
MATH-12,普通化学原理,48,2.5,吴旭
MATH-13,线性代数与空间解析几何（二）,32,2.0,黄廷祝
MATH-14,高速铁路动车组技术,48,2.5,李芾
MATH-15,混凝土结构基本原理,16,1.0,顾祥林
MATH-16,大学物理4：光学、近代物理,48,2.5,倪忠强
MATH-17,文学经典导读,32,2.0,李新
MATH-18,聪慧的源泉——数学导读,48,2.5,朱传喜
MATH-19,国际交流实用英文写作,16,1.0,胡志雯
MATH-20,创业基础,4,0.5,张耀辉
PHYS-01,物理光学,64,4.0,哈斯乌力吉
PHYS-02,信息化教学能力之五项修炼,48,2.5,焦建利
PHYS-03,预防医学（二）,32,2.0,戴俊明
PHYS-04,大学物理2：振动与波动、热学,48,2.5,刘海兰
PHYS-05,材料力学性能,64,4.0,张程煜
PHYS-06,粉体力学,64,4.0,刘志军
PHYS-07,教你如何做MOOC,64,4.0,冯菲
PHYS-08,生命科学导论,48,2.5,郑用琏
PHYS-09,全球卫生导论,48,2.5,陈文
PHYS-10,资源经济学,64,4.0,顾晓薇
PHYS-11,小学课程设计与评价,16,1.0,曾文婕
PHYS-12,微积分(二),32,2.0,徐厚宝
PHYS-13,C君带你玩编程,48,2.5,方娇莉
PHYS-14,教师职业道德,48,2.5,马丽
PHYS-15,工程索道,64,4.0,郑丽凤
PHYS-16,汽车发动机构造,48,2.5,高文志
PHYS-17,中国传世名画鉴赏,48,2.5,王鹏（王鹏澂）
PHYS-18,老子的人生智慧,48,2.5,张雷
PHYS-19,基础化学实验（有机化学）,48,2.5,郭栋才
PHYS-20,机械基础实景教学（机械设计）,32,2.0,张锋
CHEM-01,民俗文化鉴赏,48,2.5,阙祥才
CHEM-02,数学建模,48,2.5,肖华勇
CHEM-03,信息化领导力,32,2.0,沈书生
CHEM-04,汽车行走的艺术,64,4.0,王建华
CHEM-05,教学研究的数据处理与工具应用,48,2.5,马秀芳
CHEM-06,功能汉语速成,32,2.0,徐雨隽
CHEM-07,英语教学与互联网,4,0.5,焦建利
CHEM-08,西方经济学的奇妙世界,32,2.0,徐敏
CHEM-09,生物材料伴我行,16,1.0,谭志凯
CHEM-10,选矿厂设计,32,2.0,匡亚莉
CHEM-11,音乐课堂教学课例评析与研究,4,0.5,尹爱青
CHEM-12,创业学,16,1.0,贺尊
CHEM-13,基础化学实验(物理化学),16,1.0,郭栋才
CHEM-14,改变生活的生物技术,4,0.5,吕红
CHEM-15,系统解剖学（全英文）,4,0.5,张晓明
CHEM-16,结构概念分析与ANSYS程序实现,16,1.0,郭小农
CHEM-17,冷战史专题,48,2.5,沈志华
CHEM-18,普通昆虫学（二）,32,2.0,周兴苗
CHEM-19,人因工程学,32,2.0,郭伏
CHEM-20,高速铁路信号系统,64,4.0,郭进
BIO-01,高速铁路运营与维护,64,4.0,王平
BIO-02,人文视野中的生态学,16,1.0,包国章
BIO-03,经济数学—概率论与数理统计,16,1.0,彭凯
BIO-04,工程图学（一）,48,2.5,谷艳华
BIO-05,云计算技术与应用,64,4.0,孙宁
BIO-06,大学日语提高篇,48,2.5,曹红荃
BIO-07,形势与政策,64,4.0,彭庆红
BIO-08,园艺概论,32,2.0,徐强
BIO-09,新闻伦理与法规,32,2.0,李理
BIO-10,大学物理—近代物理,48,2.5,胡海云
BIO-11,生命科学发展史,48,2.5,孟和
BIO-12,系统工程,32,2.0,吴锋
BIO-13,太极拳文化与功法习练,48,2.5,易鹏
BIO-14,高速铁路规划与选线,32,2.0,易思蓉
BIO-15,大学物理—相对论、电磁学,16,1.0,李雪春
BIO-16,电器理论基础,64,4.0,许志红
BIO-17,大学物理3：电磁学,4,0.5,吴天刚
BIO-18,现代工程制图（上）,16,1.0,王丹虹
BIO-19,C语言程序设计(下),64,4.0,李凤霞
BIO-20,数字逻辑电路,4,0.5,王建新
ECON-01,线性代数启蒙,64,4.0,李尚志
ECON-02,口腔正畸学,64,4.0,刘东旭
ECON-03,中国诗歌艺术,16,1.0,王红
ECON-04,混凝土结构基本原理,32,2.0,王海军
ECON-05,比较文学,32,2.0,胡亚敏
ECON-06,化工过程分析与合成,16,1.0,都健
ECON-07,初级汉语语法,32,2.0,王瑞烽
ECON-08,大数据算法,32,2.0,王宏志
ECON-09,物理化学（上）,32,2.0,白守礼
ECON-10,国际经济法,32,2.0,胡加祥
ECON-11,插图设计,4,0.5,陈澜
ECON-12,概率论与数理统计,32,2.0,关静
ECON-13,行政管理学,64,4.0,杜宝贵
ECON-14,工程制图与计算机绘图,48,2.5,杜淑幸
ECON-15,概率论与数理统计,64,4.0,杨筱菡
ECON-16,海洋与人类文明的生产,32,2.0,苏文菁
ECON-17,中国传统艺术——篆刻、书法、水墨画体验与欣赏,64,4.0,胡修瑞
ECON-18,工程材料及机械制造基础——金属工艺学,48,2.5,李清
ECON-19,单片机原理及应用,16,1.0,张毅刚
ECON-20,计算机组织与结构,48,2.5,赖晓晨
PSY-01,大学英语学术阅读,32,2.0,王海啸
PSY-02,中外出版史,32,2.0,万安伦
PSY-03,水工钢筋混凝土结构学,32,2.0,冷飞
PSY-04,鞋靴造型设计,48,2.5,万蓬勃
PSY-05,自然保护与生态安全：拯救地球家园,32,2.0,黄柏炎
PSY-06,基因组学,16,1.0,杨金水
PSY-07,书法课堂,32,2.0,朱利
PSY-08,微积分（三）,48,2.5,尹逊波
PSY-09,光电子学（一）,4,0.5,朱京平
PSY-10,轻松学统计,32,2.0,罗良清
PSY-11,道路工程材料,16,1.0,申爱琴
PSY-12,人体骨与关节解剖学,16,1.0,尹维刚
PSY-13,工程图学（二）,64,4.0,谷艳华
PSY-14,计算思维的结构,32,2.0,董荣胜
PSY-15,国家预算管理,16,1.0,王金秀
PSY-16,土木工程概论,4,0.5,叶志明
PSY-17,高级语言程序设计,64,4.0,张长海
PSY-18,匠心与创新——家具行业创新创业,64,4.0,林金国
PSY-19,中医药创新创业,48,2.5,王世宇
PSY-20,设计之美,48,2.5,王妍
HIST-01,大学物理-电磁学和光学,16,1.0,李玉香
HIST-02,宇宙探索与发现,16,1.0,刘金寿
HIST-03,航空发动机燃烧学,32,2.0,范玮
HIST-04,耕作学——农业生态转型的理论与实践,16,1.0,陈冬梅
HIST-05,大学物理-量子物理,4,0.5,刘永录
HIST-06,分析化学,48,2.5,吴硕
HIST-07,集装箱运输与多式联运,32,2.0,朱晓宁
HIST-08,改进合作学习,16,1.0,汪琼
